"County","n_geMRL","n_samples","detected","med_gMRL_PFBS","med_gMRL_PFHpA","med_gMRL_PFHxS","med_gMRL_PFNA","med_gMRL_PFOA","med_gMRL_PFOS","MRL_ngl_PFBS","MRL_ngl_PFHpA","MRL_ngl_PFHxS","MRL_ngl_PFNA","MRL_ngl_PFOA","MRL_ngl_PFOS","median_PFBS","median_PFHpA","median_PFHxS","median_PFNA","median_PFOA","median_PFOS","Q1_PFBS","Q1_PFHpA","Q1_PFHxS","Q1_PFNA","Q1_PFOA","Q1_PFOS","Q3_PFBS","Q3_PFHpA","Q3_PFHxS","Q3_PFNA","Q3_PFOA","Q3_PFOS","n_med_gMRL","pfas_cat"
"37019",7,84,"Yes","No","Yes","No","No","No","No",63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,10.0355339059327,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,12.03,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,1,"Median exceeds MRL"
"37021",0,96,"No","No","No","No","No","No","No",63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,0,"None detected"
"37023",0,240,"No","No","No","No","No","No","No",63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,0,"None detected"
"37025",0,108,"No","No","No","No","No","No","No",63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,0,"None detected"
"37027",0,288,"No","No","No","No","No","No","No",63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,0,"None detected"
"37029",0,36,"No","No","No","No","No","No","No",63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,0,"None detected"
"37031",0,48,"No","No","No","No","No","No","No",63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,0,"None detected"
"37033",0,60,"No","No","No","No","No","No","No",63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,0,"None detected"
"37035",0,288,"No","No","No","No","No","No","No",63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,0,"None detected"
"37037",2,300,"Yes","No","No","No","No","No","No",63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,63.6396103067893,7.07106781186547,21.2132034355964,14.1421356237309,14.1421356237309,28.2842712474619,0,"Detected"
